ID	ru
qc_this_language	Русский
qc_ptm_general_yes	Да
qc_ptm_general_no	Нет
qc_ptm_general_greeting	Привет!
qc_ptm_general_thanks	Спасибо!
qc_ptm_general_apology	Извини...
qc_ptm_general_curse	Б#@%Ь
qc_ptm_general_forgive	Без проблем
qc_ptm_general_acknowledged	Приянто
qc_ptm_general_goodgame_normal	gg
qc_ptm_general_goodgame_toxic	ggez
qc_ptm_general_bye	Пока!
qc_ptm_general_brb	Мне нужно отойти на секунду
qc_ptm_general_nokeyboard	У меня нет клавиатуры
qc_ptm_general_leaving_soon	Я скоро пойду
qc_ptm_general_leaving_last_game	Это последняя для меня
qc_ptm_general_healembargo	Не лечите меня, у меня билд от низкого хп
qc_ptm_general_achievementhunting	Я охочусь за достижениями
qc_ptm_comms_claim	Нашёл!
qc_ptm_comms_help	Помогите!
qc_ptm_comms_follow	За мной!
qc_ptm_comms_attack	Покажем им!
qc_ptm_comms_defend	Защищайте цель!
qc_ptm_comms_regroup	Нужно перегруппироваться 
qc_ptm_comms_reviving	Я подниму!
qc_ptm_comms_comehere	Иди сюда!
qc_ptm_comms_caution	Осторожно!
qc_ptm_comms_opening_door	Я займусь дверью
qc_ptm_comms_jammed_drill	Дрель заело!
qc_ptm_comms_jammed_hack	Взлом остановился!
qc_ptm_direction_left	Налево!
qc_ptm_direction_right	направо!
qc_ptm_direction_up	Вверх
qc_ptm_direction_down	Вниз!
qc_ptm_direction_forward	Вперед!
qc_ptm_direction_backward	Назад!
qc_ptm_tactic_ask_stealth	Стелс или громко?
qc_ptm_tactic_ask_hybrid	Стелсим частично?
qc_ptm_tactic_ask_loud	Идем громко?
qc_ptm_tactic_suggest_stealth	Давайте стелсом
qc_ptm_tactic_suggest_hybrid	Попробуем частично стелсом
qc_ptm_tactic_suggest_loud	Давайте громко
qc_ptm_need_docbag	Мне нужна мед сумка!
qc_ptm_need_fak	Мне нужна маленькая аптечка!
qc_ptm_need_ammo	У кого-то есть патроны?
qc_ptm_need_ecm	Ставь глушилку!
qc_ptm_need_sentrygun	Здесь нужна турель
qc_ptm_need_sentrygun_silent	Здесь нужна приглушенная турель
qc_ptm_need_tripmine	Поставь тут мину
qc_ptm_need_shapedcharge	Кумулятивный заряд сюда!
qc_ptm_need_bodybags	У меня кончились мешки!
qc_ptm_need_grenades	Поставь сумку с гранатами!
qc_ptm_need_convert	Мне нужен джокер!
qc_ptm_need_ties	У меня кончились стяжки!
qc_equipment_ties	Кабельные стяжки!
qc_ptm_enemy_sniper	Снайпер!
qc_ptm_enemy_cloaker	Клокер!
qc_ptm_enemy_taser	Тазер!
qc_ptm_enemy_dozer	Бульдозер
qc_ptm_enemy_medic	Медик!
qc_ptm_enemy_shield	Щит!
qc_ptm_enemy_winters	Винтерс!
qc_ptm_enemy_msniper	Маршал Снайпер!
qc_ptm_enemy_mshield	Маршал Щит!
qc_ptm_enemy_swatturret	Турель!
qc_wp_look	Смотри
qc_wp_go	Иди
qc_wp_bag	Забирай
qc_wp_kill	Убей
qc_wp_deploy	Поставь
qc_wp_interact	Взаимодействуй
qc_wp_defend	Defend
qc_wp_avoid	Аккуратно
qc_hud_needs_something_template	Дайте мне...
qc_alert_player_gcw	[$USERNAME] использует Goonmod's Custom Waypoints. Синхронизация может быть ограничена
qc_alert_player_registered_version_match	Подклюение к [$USERNAME] успешно.  Метки могут быть использованы
