ID	es
qc_this_language	Español
qc_ptm_general_yes	Si
qc_ptm_general_no	No
qc_ptm_general_greeting	¡Hola!
qc_ptm_general_thanks	¡Gracias!
qc_ptm_general_apology	Lo siento...
qc_ptm_general_curse	$#@%!
qc_ptm_general_forgive	No hay problema.
qc_ptm_general_acknowledged	Entendido.
qc_ptm_general_goodgame_normal	gg
qc_ptm_general_goodgame_toxic	ggez
qc_ptm_general_bye	Hasta luego!
qc_ptm_general_brb	Denme un momento, me llaman.
qc_ptm_general_nokeyboard	AFK
qc_ptm_general_leaving_soon	Después me tendré que ir.
qc_ptm_general_leaving_last_game	Este es mi ultimo atraco que juego.
qc_ptm_general_healembargo	Por favor no me cures- Mi build se juega con poca vida.
qc_ptm_general_achievementhunting	Estoy completando logros.
qc_ptm_comms_claim	¡Lo tengo!
qc_ptm_comms_help	¡Ayúdenme!
qc_ptm_comms_follow	¡Sígueme!
qc_ptm_comms_attack	¡Atacar!
qc_ptm_comms_defend	¡Defiendan el objetivo!
qc_ptm_comms_regroup	¡Necesitamos reagruparnos!
qc_ptm_comms_reviving	¡Lo voy a ayudar!
qc_ptm_comms_comehere	¡Vengan aquí!
qc_ptm_comms_caution	¡Cuidado!
qc_ptm_comms_opening_door	¡Voy a abrir esta puerta!
qc_ptm_comms_jammed_drill	¡El taladro esta averiado!
qc_ptm_comms_jammed_hack	¡Detuvieron el hackeo!
qc_ptm_direction_left	¡Izquierda!
qc_ptm_direction_right	¡Derecha!
qc_ptm_direction_up	¡Arriba!
qc_ptm_direction_down	¡Abajo!
qc_ptm_direction_forward	¡Adelante!
qc_ptm_direction_backward	¡Atrás!
qc_ptm_tactic_ask_stealth	¿Lo hacemos en sigilo?
qc_ptm_tactic_ask_hybrid	¿Haremos esta parte en sigilo?
qc_ptm_tactic_ask_loud	¿Lo haremos en asalto?
qc_ptm_tactic_suggest_stealth	¡Vamos en sigilo!
qc_ptm_tactic_suggest_hybrid	¡Hagamos esta parte en sigilo!
qc_ptm_tactic_suggest_loud	¡Vamos en asalto!
qc_ptm_need_docbag	¡Necesito un Botiquín Medico!
qc_ptm_need_fak	¡Necesito un Botiquín de Primeros Auxilios!
qc_ptm_need_ammo	¡Necesito una Bolsa de Munición!
qc_ptm_need_ecm	¡Coloca el ECM!
qc_ptm_need_sentrygun	¡Coloca la Sentry aquí!
qc_ptm_need_sentrygun_silent	¡Coloca la Sentry Silenciada aquí!
qc_ptm_need_tripmine	¡Coloca la Mina Explosiva aquí!
qc_ptm_need_shapedcharge	¡Coloca la C4 aquí!
