ID	tr
qc_this_language	Turkish
qc_ptm_general_yes	Evet
qc_ptm_general_no	Hayır
qc_ptm_general_greeting	Selam!
qc_ptm_general_thanks	Teşekkürler!
qc_ptm_general_apology	Özür dilerim...
qc_ptm_general_curse	Hay $#@%!
qc_ptm_general_forgive	Sorun değil.
qc_ptm_general_acknowledged	Anlaşıldı.
qc_ptm_general_goodgame_normal	gg
qc_ptm_general_goodgame_toxic	ggez
qc_ptm_general_bye	Görüşürüz!
qc_ptm_general_brb	Biraz uzaklaşmam gerek.
qc_ptm_general_nokeyboard	Klavyem yok! (Gerçekten)
qc_ptm_general_leaving_soon	Yakında gitmem gerek.
qc_ptm_general_leaving_last_game	Bu son soygunum olacak.
qc_ptm_general_healembargo	Lütfen beni iyileştirme- Düşük can gerektiren bir build kullanıyorum.
qc_ptm_general_achievementhunting	Başarım kasmaya çalışıyorum.
qc_ptm_comms_claim	O iş bende! / Ben hallederim.
qc_ptm_comms_help	Yardıma ihtiyacım var!
qc_ptm_comms_follow	Beni takip et!
qc_ptm_comms_attack	Saldır!
qc_ptm_comms_defend	Objektifi koru! / Objektifi koruyun!
qc_ptm_comms_regroup	Yeniden toplanmamız lazım!
qc_ptm_comms_reviving	Canlandırma işi bende!
qc_ptm_comms_comehere	Buraya gel!
qc_ptm_comms_caution	Dikkat et!
qc_ptm_comms_opening_door	Bu kapıyı ben açarım!
qc_ptm_comms_jammed_drill	Matkap sıkıştı!
qc_ptm_comms_jammed_hack	Hack ilerlemiyor!
qc_ptm_direction_left	Sol!
qc_ptm_direction_right	Sağ!
qc_ptm_direction_up	Yukarı!
qc_ptm_direction_down	Aşağı!
qc_ptm_direction_forward	İleri!
qc_ptm_direction_backward	Geri!
qc_ptm_tactic_ask_stealth	Gizli mi ilerliyoruz?
qc_ptm_tactic_ask_hybrid	Önce sessiz, sonra mı dalıyoruz?
qc_ptm_tactic_ask_loud	Dalıyor muyuz?
qc_ptm_tactic_suggest_stealth	Sessiz halledelim!
qc_ptm_tactic_suggest_hybrid	Önce sessiz gidelim, sonra dalarız!
qc_ptm_tactic_suggest_loud	Dalalım!
qc_ptm_need_docbag	Sağlık çantasına ihtiyacım var!
qc_ptm_need_fak	İlk yardım çantasına ihtiyacım var!
qc_ptm_need_ammo	Mermi Çantasına ihtiyacım var!
qc_ptm_need_ecm	ECM'i yerleştir!
qc_ptm_need_sentrygun	Buraya sentry koy!
qc_ptm_need_sentrygun_silent	Buraya susturuculu sentry koy!
qc_ptm_need_tripmine	Buraya trip mine koy!
qc_ptm_need_shapedcharge	Buraya patlayıcı koy!
qc_ptm_need_bodybags	Ceset torbalarına ihtiyacım var!
qc_ptm_need_grenades	Buraya el bombası kutusu koy!
qc_ptm_need_convert	Bir Joker'e ihtiyacım var!
qc_ptm_need_ties	Bu kişinin kabloyla bağlanması gerekiyor!
qc_equipment_ties	Kablo kelepçeleri
qc_ptm_enemy_sniper	Keskin nişancı!
